,Codigo,Nome
0,01,Bancos privados
1,02,Bancos públicos + Caixa Econômica Federal
2,03,Bancos privados + Bancos públicos + Caixa Econômica Federal
3,04,Cooperativas de Crédito
4,05,Bancos de Desenvolvimento e Investimento
5,06,Agências de Fomento e Companhias Hipotecaria
6,07,"Sociedades de Crédito, Financiamento e Investimento (CFI)"
7,08,Sociedades de Arrendamento Mercantil
8,09,Sociedades Distribuidoras...
9,10,Associações de poupança e empréstimos e sociedades de crédito Imobiliário
10,11,Consolidado Geral
